Wavelength [nm],Dim,Moderate,Bright 
380,6.66E-07,0.00E+00,5.89E-04
381,2.03E-07,0.00E+00,2.14E-04
382,0.00E+00,0.00E+00,1.36E-04
383,0.00E+00,0.00E+00,3.09E-04
384,0.00E+00,0.00E+00,2.74E-04
385,0.00E+00,0.00E+00,2.15E-04
386,0.00E+00,0.00E+00,2.58E-04
387,0.00E+00,4.18E-07,2.87E-04
388,0.00E+00,1.28E-06,3.08E-04
389,0.00E+00,8.23E-07,3.65E-04
390,0.00E+00,4.13E-08,4.27E-04
391,0.00E+00,8.70E-07,3.58E-04
392,0.00E+00,1.04E-06,3.39E-04
393,0.00E+00,2.30E-07,3.94E-04
394,1.93E-07,0.00E+00,4.05E-04
395,4.34E-07,0.00E+00,3.99E-04
396,2.73E-06,0.00E+00,2.92E-04
397,3.85E-06,4.91E-07,2.79E-04
398,2.74E-06,2.05E-06,4.59E-04
399,2.56E-06,6.37E-06,7.37E-04
400,2.90E-06,1.20E-05,1.06E-03
401,1.21E-06,5.57E-05,3.06E-03
402,1.67E-06,1.08E-04,5.57E-03
403,7.74E-06,1.85E-04,9.54E-03
404,9.67E-06,2.27E-04,1.17E-02
405,8.89E-06,2.47E-04,1.28E-02
406,6.57E-06,2.06E-04,1.05E-02
407,4.61E-06,1.60E-04,7.91E-03
408,4.63E-06,1.26E-04,5.80E-03
409,4.36E-06,1.12E-04,4.25E-03
410,3.86E-06,1.14E-04,3.23E-03
411,4.49E-06,1.26E-04,2.95E-03
412,5.54E-06,1.41E-04,2.88E-03
413,7.77E-06,1.65E-04,3.22E-03
414,8.76E-06,1.90E-04,3.62E-03
415,8.38E-06,2.16E-04,4.10E-03
416,1.03E-05,2.49E-04,4.65E-03
417,1.27E-05,2.85E-04,5.25E-03
418,1.38E-05,3.24E-04,5.97E-03
419,1.50E-05,3.61E-04,6.66E-03
420,1.65E-05,3.97E-04,7.31E-03
421,1.82E-05,4.30E-04,7.92E-03
422,2.01E-05,4.62E-04,8.52E-03
423,2.33E-05,5.09E-04,9.25E-03
424,2.61E-05,5.58E-04,1.01E-02
425,2.82E-05,6.11E-04,1.10E-02
426,3.01E-05,6.62E-04,1.18E-02
427,3.20E-05,7.12E-04,1.26E-02
428,3.47E-05,7.83E-04,1.36E-02
429,3.88E-05,8.67E-04,1.50E-02
430,4.57E-05,9.72E-04,1.69E-02
431,5.76E-05,1.20E-03,2.19E-02
432,7.19E-05,1.49E-03,2.82E-02
433,1.37E-04,2.97E-03,6.08E-02
434,2.01E-04,4.41E-03,9.25E-02
435,2.65E-04,5.78E-03,1.22E-01
436,2.73E-04,5.95E-03,1.25E-01
437,2.50E-04,5.43E-03,1.11E-01
438,1.81E-04,3.94E-03,7.72E-02
439,1.23E-04,2.67E-03,4.85E-02
440,8.97E-05,1.91E-03,3.28E-02
441,7.32E-05,1.53E-03,2.48E-02
