"Wavelength","transmission"
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0.01
530,0.01
531,0.01
532,0.01
533,0.01
534,0.02
535,0.02
536,0.02
537,0.02
538,0.03
539,0.03
540,0.04
541,0.04
542,0.04
543,0.05
544,0.05
545,0.06
546,0.07
547,0.07
548,0.08
549,0.09
550,0.1
551,0.11
552,0.12
553,0.13
554,0.15
555,0.16
556,0.17
557,0.19
558,0.2
559,0.21
560,0.23
561,0.24
562,0.26
563,0.28
564,0.3
565,0.32
566,0.33
567,0.35
568,0.37
569,0.39
570,0.41
571,0.43
572,0.45
573,0.47
574,0.49
575,0.51
576,0.53
577,0.56
578,0.58
579,0.6
580,0.62
581,0.64
582,0.65
583,0.67
584,0.68
585,0.69
586,0.71
587,0.72
588,0.73
589,0.75
590,0.76
591,0.77
592,0.78
593,0.79
594,0.8
595,0.8
596,0.81
597,0.82
598,0.82
599,0.83
600,0.84
601,0.84
602,0.85
603,0.85
604,0.86
605,0.86
606,0.87
607,0.87
608,0.88
609,0.88
610,0.88
611,0.89
612,0.89
613,0.89
614,0.89
615,0.9
616,0.9
617,0.9
618,0.91
619,0.91
620,0.91
621,0.91
622,0.91
623,0.92
624,0.92
625,0.92
626,0.92
627,0.92
628,0.92
629,0.93
630,0.93
631,0.93
632,0.93
633,0.93
634,0.93
635,0.93
636,0.93
637,0.93
638,0.93
639,0.93
640,0.93
641,0.93
642,0.93
643,0.93
644,0.93
645,0.93
646,0.93
647,0.93
648,0.93
649,0.93
650,0.93
651,0.93
652,0.93
653,0.93
654,0.93
655,0.93
656,0.93
657,0.93
658,0.93
659,0.93
660,0.93
661,0.93
662,0.92
663,0.92
664,0.92
665,0.92
666,0.92
667,0.92
668,0.92
669,0.92
670,0.92
671,0.92
672,0.92
673,0.92
674,0.92
675,0.92
676,0.92
677,0.92
678,0.92
679,0.92
680,0.92
681,0.92
682,0.92
683,0.92
684,0.92
685,0.92
686,0.92
687,0.92
688,0.92
689,0.92
690,0.92
691,0.92
692,0.92
693,0.92
694,0.92
695,0.92
696,0.92
697,0.92
698,0.92
699,0.92
700,0.93
701,0.93
702,0.93
703,0.93
704,0.93
705,0.93
706,0.93
707,0.93
708,0.93
709,0.93
710,0.93
711,0.93
712,0.93
713,0.93
714,0.93
715,0.93
716,0.93
717,0.93
718,0.93
719,0.93
720,0.93
721,0.93
722,0.93
723,0.93
724,0.93
725,0.93
726,0.93
727,0.93
728,0.93
729,0.93
730,0.93
731,0.93
732,0.93
733,0.93
734,0.93
735,0.93
736,0.93
737,0.93
738,0.93
739,0.93
740,0.93
741,0.93
742,0.93
743,0.93
744,0.93
745,0.93
746,0.93
747,0.93
748,0.93
749,0.93
750,0.93
751,0.93
752,0.93
753,0.93
754,0.93
755,0.93
756,0.93
757,0.93
758,0.93
759,0.93
760,0.93
761,0.93
762,0.93
763,0.92
764,0.92
765,0.92
766,0.92
767,0.92
768,0.92
769,0.92
770,0.92
771,0.92
772,0.92
773,0.92
774,0.92
775,0.92
776,0.92
777,0.92
778,0.92
779,0.92
780,0.92
