Wavelength, value
305.25, -0.02
315.35, -0.01
324.98, -0.01
335.08, -0.01
345.18, -0.01
355.28, -0.01
365.38, -0.01
373.89, -0.01
379.95, 0.00
386.03, -0.01
396.13, -0.01
406.23, -0.02
416.32, -0.02
426.42, -0.01
436.15, -0.01
446.25, -0.01
456.35, -0.01
466.45, -0.01
476.54, -0.01
487.01, -0.01
497.11, -0.01
507.20, -0.01
517.30, 0.02
527.40, 0.36
537.04, 2.15
543.92, 5.29
548.51, 8.42
552.19, 12.03
554.94, 15.83
557.69, 19.58
560.45, 23.15
562.28, 26.25
564.12, 29.81
565.96, 33.38
567.79, 36.92
569.63, 40.56
571.46, 44.13
573.30, 47.93
575.14, 51.74
576.97, 55.45
578.81, 59.19
580.18, 62.51
582.48, 66.06
585.23, 69.81
587.99, 73.48
591.20, 77.27
595.33, 80.57
600.38, 84.21
606.81, 87.14
615.53, 89.98
625.63, 92.18
635.72, 93.21
645.82, 93.32
655.46, 92.87
665.56, 92.23
675.66, 92.10
685.75, 92.10
695.85, 92.39
705.95, 92.73
716.05, 92.95
726.60, 93.18
736.70, 92.90
746.80, 92.65
756.90, 92.65
767.00, 92.40
776.18, 92.37
780.00, 92.50
