Wavelength, value
380,0.1
381,0.1
382,0.1
383,0.1
384,0.1
385,0.1
386,0.1
387,0.1
388,0.1
389,0.1
390,0.1
391,0.1
392,0.1
393,0.1
394,0.1
395,0.1
396,0.1
397,0.1
398,0.1
399,0.1
400,0.099289167
401,0.100626667
402,0.101964168
403,0.103110596
404,0.104448097
405,0.105212382
406,0.106358811
407,0.106740954
408,0.107887383
409,0.108078454
410,0.108651669
411,0.109607026
412,0.109607026
413,0.109989169
414,0.110753455
415,0.111135597
416,0.11151774
417,0.112664169
418,0.112855241
419,0.114001669
420,0.114192741
421,0.114765955
422,0.115721312
423,0.116485598
424,0.117249884
425,0.117632027
426,0.118587384
427,0.119160598
428,0.120307027
429,0.120880242
430,0.121835599
431,0.122599885
432,0.12336417
433,0.124510599
434,0.124892742
435,0.125465956
436,0.126421314
437,0.126421314
438,0.126421314
439,0.126421314
440,0.126421314
441,0.126421314
442,0.125848099
443,0.124892742
444,0.124701671
445,0.12336417
446,0.123173099
447,0.122217742
448,0.121835599
449,0.121835599
450,0.121453456
451,0.121071313
452,0.120498099
453,0.120307027
454,0.120307027
455,0.120307027
456,0.120307027
457,0.120115956
458,0.119542741
459,0.118778456
460,0.118778456
461,0.11801417
462,0.117249884
463,0.116485598
464,0.115530241
465,0.114574884
466,0.112855241
467,0.111708812
468,0.110753455
469,0.109798097
470,0.109224883
471,0.108269526
472,0.107887383
473,0.106932025
474,0.106549883
475,0.106549883
476,0.105785597
477,0.105212382
478,0.105021311
479,0.105021311
480,0.105021311
481,0.105021311
482,0.104639168
483,0.104257025
484,0.103874882
485,0.103492739
486,0.103492739
487,0.103492739
488,0.103492739
489,0.103492739
490,0.103492739
491,0.103492739
492,0.103492739
493,0.103492739
494,0.103492739
495,0.103492739
496,0.103492739
497,0.103492739
498,0.103492739
499,0.103874882
500,0.104257025
501,0.105021311
502,0.105021311
503,0.105021311
504,0.105785597
505,0.106549883
506,0.106549883
507,0.107314168
508,0.108078454
509,0.109415954
510,0.109989169
511,0.111135597
512,0.112090955
513,0.113046312
514,0.114001669
515,0.115339169
516,0.116485598
517,0.117632027
518,0.118969527
519,0.120115956
520,0.121453456
521,0.122408813
522,0.123746313
523,0.124701671
524,0.125848099
525,0.126421314
526,0.1271856
527,0.127949885
528,0.127949885
529,0.127949885
530,0.127949885
531,0.127758814
532,0.126803457
533,0.126421314
534,0.125465956
535,0.124892742
536,0.124510599
537,0.123555242
538,0.12336417
539,0.122982028
540,0.122217742
541,0.121835599
542,0.121835599
543,0.121835599
544,0.121835599
545,0.121835599
546,0.122599885
547,0.12336417
548,0.124128456
549,0.125083814
550,0.126421314
551,0.127567742
552,0.130815957
553,0.1325356
554,0.134064172
555,0.135592744
556,0.137121315
557,0.138649887
558,0.139796315
559,0.141133816
560,0.141898101
561,0.142853459
562,0.143235602
563,0.143235602
564,0.143235602
565,0.143235602
566,0.143235602
567,0.142662387
568,0.14170703
569,0.140942744
570,0.140178458
571,0.139223101
572,0.138649887
573,0.136739172
574,0.135783815
575,0.135210601
576,0.134255243
577,0.1338731
578,0.132917743
579,0.1325356
580,0.1325356
581,0.131962386
582,0.131771314
583,0.131771314
584,0.131771314
585,0.131771314
586,0.131007029
587,0.131007029
588,0.131007029
589,0.131007029
590,0.131007029
591,0.131007029
592,0.130815957
593,0.130051671
594,0.128905243
595,0.127567742
596,0.126421314
597,0.124701671
598,0.123173099
599,0.121644527
600,0.119924884
601,0.118205241
602,0.116485598
603,0.114765955
604,0.112855241
605,0.111326669
606,0.109798097
607,0.108269526
608,0.106740954
609,0.105403454
610,0.104065954
611,0.102919525
612,0.101773096
613,0.100817739
614,0.100053453
615,0.099098096
616,0.09833381
617,0.09699631
618,0.096040953
619,0.095849881
620,0.095085595
621,0.094512381
622,0.09432131
623,0.09432131
624,0.09432131
625,0.09432131
626,0.09432131
627,0.094703452
628,0.095467738
629,0.095849881
630,0.096805238
631,0.097760596
632,0.098715953
633,0.100053453
634,0.101390953
635,0.102919525
636,0.104639168
637,0.106549883
638,0.110753455
639,0.112473098
640,0.114574884
641,0.116867741
642,0.118778456
643,0.12068917
644,0.122790956
645,0.124701671
646,0.126230242
647,0.127567742
648,0.129096314
649,0.130051671
650,0.131007029
651,0.131007029
652,0.131007029
653,0.131007029
654,0.130815957
655,0.1298606
656,0.128332028
657,0.126230242
658,0.123746313
659,0.121071313
660,0.114957027
661,0.11151774
662,0.108078454
663,0.104448097
664,0.10100881
665,0.098142739
666,0.095849881
667,0.093748095
668,0.092028452
669,0.09049988
670,0.089353452
671,0.088207023
672,0.088207023
673,0.08782488
674,0.088207023
675,0.088398094
676,0.089544523
677,0.091073095
678,0.092792738
679,0.095467738
680,0.103110596
681,0.108269526
682,0.114001669
683,0.120498099
684,0.128332028
685,0.137121315
686,0.146483816
687,0.157183818
688,0.168648105
689,0.180685607
690,0.193487394
691,0.207053467
692,0.221001683
693,0.235332042
694,0.249853473
695,0.264948118
696,0.280042762
697,0.294946336
698,0.309849909
699,0.323989197
700,0.331440984
701,0.335071341
702,0.335071341
703,0.335071341
704,0.335071341
705,0.335071341
706,0.335071341
707,0.335071341
708,0.335071341
709,0.335071341
710,0.335071341
711,0.335071341
712,0.335071341
713,0.335071341
714,0.335071341
715,0.335071341
716,0.335071341
717,0.335071341
718,0.335071341
719,0.335071341
720,0.335071341
721,0.335071341
722,0.335071341
723,0.335071341
724,0.335071341
725,0.335071341
726,0.335071341
727,0.335071341
728,0.335071341
729,0.335071341
730,0.335071341
731,0.335071341
732,0.335071341
733,0.335071341
734,0.335071341
735,0.335071341
736,0.335071341
737,0.335071341
738,0.335071341
739,0.335071341
740,0.335071341
741,0.335071341
742,0.335071341
743,0.335071341
744,0.335071341
745,0.335071341
746,0.335071341
747,0.335071341
748,0.335071341
749,0.335071341
750,0.335071341
751,0.335071341
752,0.335071341
753,0.335071341
754,0.335071341
755,0.335071341
756,0.335071341
757,0.335071341
758,0.335071341
759,0.335071341
760,0.335071341
761,0.335071341
762,0.335071341
763,0.335071341
764,0.335071341
765,0.335071341
766,0.335071341
767,0.335071341
768,0.335071341
769,0.335071341
770,0.335071341
771,0.335071341
772,0.335071341
773,0.335071341
774,0.335071341
775,0.335071341
776,0.335071341
777,0.335071341
778,0.335071341
779,0.335071341
780,0.335071341
